county_fips,state_fips,state_name,state_abbreviation,county_name,source_geography_description,observed_cms_start_year,observed_cms_end_year,geography_status,is_current_county,boundary_discontinuity_warning,seed_version
02261,02,Alaska,AK,Valdez-Cordova,AK-Valdez-Cordova,2014,2018,historical_source_only,false,"Historical CMS source identity; Alaska county-equivalent boundaries changed. No successor allocation or longitudinal bridge is applied.",plan006.1
02270,02,Alaska,AK,Wade Hampton,AK-Wade Hampton,2014,2014,historical_source_only,false,"Historical CMS source identity; Alaska county-equivalent boundaries changed. No successor allocation or longitudinal bridge is applied.",plan006.1
09001,09,Connecticut,CT,Fairfield,CT-Fairfield,2014,2021,historical_source_only,false,"Historical CMS source identity predates Connecticut planning-region geography in the 2022+ current surface. No successor allocation or longitudinal bridge is applied.",plan006.1
09003,09,Connecticut,CT,Hartford,CT-Hartford,2014,2021,historical_source_only,false,"Historical CMS source identity predates Connecticut planning-region geography in the 2022+ current surface. No successor allocation or longitudinal bridge is applied.",plan006.1
09005,09,Connecticut,CT,Litchfield,CT-Litchfield,2014,2021,historical_source_only,false,"Historical CMS source identity predates Connecticut planning-region geography in the 2022+ current surface. No successor allocation or longitudinal bridge is applied.",plan006.1
09007,09,Connecticut,CT,Middlesex,CT-Middlesex,2014,2021,historical_source_only,false,"Historical CMS source identity predates Connecticut planning-region geography in the 2022+ current surface. No successor allocation or longitudinal bridge is applied.",plan006.1
09009,09,Connecticut,CT,New Haven,CT-New Haven,2014,2021,historical_source_only,false,"Historical CMS source identity predates Connecticut planning-region geography in the 2022+ current surface. No successor allocation or longitudinal bridge is applied.",plan006.1
09011,09,Connecticut,CT,New London,CT-New London,2014,2021,historical_source_only,false,"Historical CMS source identity predates Connecticut planning-region geography in the 2022+ current surface. No successor allocation or longitudinal bridge is applied.",plan006.1
09013,09,Connecticut,CT,Tolland,CT-Tolland,2014,2021,historical_source_only,false,"Historical CMS source identity predates Connecticut planning-region geography in the 2022+ current surface. No successor allocation or longitudinal bridge is applied.",plan006.1
09015,09,Connecticut,CT,Windham,CT-Windham,2014,2021,historical_source_only,false,"Historical CMS source identity predates Connecticut planning-region geography in the 2022+ current surface. No successor allocation or longitudinal bridge is applied.",plan006.1
46113,46,South Dakota,SD,Shannon,SD-Shannon,2014,2014,historical_source_only,false,"Historical CMS source identity; the county name and FIPS changed after the observed row. No successor allocation or longitudinal bridge is applied.",plan006.1
